종목코드,현재가,거래대금,시가,고가,저가,거래량,NXT거래대금
010170,17810.0,176345000000.0,18230.0,18750.0,17500.0,9843793.0,
310210,146700.0,15322000000.0,153000.0,159800.0,146500.0,101171.0,6245464000.0
357780,337000.0,5319000000.0,345500.0,347500.0,333500.0,15728.0,2452563000.0
257720,39800.0,33532000000.0,41200.0,42050.0,39750.0,826977.0,19226374000.0
080220,75600.0,106270000000.0,78000.0,80100.0,75000.0,1366592.0,
140410,78800.0,8116000000.0,79500.0,82000.0,78200.0,101796.0,
145020,190400.0,38675000000.0,205000.0,205500.0,188200.0,200748.0,13456897000.0
319400,21350.0,16797000000.0,21950.0,21950.0,21200.0,778051.0,
226950,102200.0,18328000000.0,105700.0,106600.0,101800.0,178056.0,9359799000.0
032820,13420.0,71344000000.0,13630.0,13800.0,13180.0,5285764.0,
058610,98800.0,18378000000.0,100700.0,100800.0,98800.0,184315.0,25666746999.999996
005290,42950.0,13422000000.0,43400.0,43600.0,42550.0,311175.0,16156549000.000002
